Sample Name,400-410,410-420,420-430,430-440,440-450,450-460,460-470,470-480,480-490,490-500,500-510,510-520,520-530,530-540,540-550,550-560,560-570,570-580,580-590,590-600,600-610,610-620,620-630,630-640,640-650,650-660,660-670,670-680,680-690,690-700,700-710,710-720,720-730,730-740,740-750,750-760,760-770,770-780,780-790,790-800,Class
31,0.000001,0.000001,0.000007,0.000013,0.000011,0.000005,0,0,0,0,0.00001,0.000221,0.000681,0.001157,0.002028,0.003971,0.008434,0.014178,0.018709,0.01737,0.014543,0.01594,0.019127,0.022561,0.020072,0.009193,0.002355,0.003248,0.004963,0.006401,0.004776,0.002149,0.001121,0.000701,0.000535,0.000535,0.000604,0.00046,0.000148,0.000021,Non-Drinkable
32,0.000018,0.000026,0.000015,0.000007,0.000005,0.000005,0,0,0.000001,0.000001,0.000028,0.00006,0.000247,0.000686,0.001601,0.003036,0.005343,0.010832,0.01813,0.01826,0.014365,0.014609,0.018285,0.021109,0.024163,0.015312,0.003014,0.00306,0.004207,0.006308,0.00546,0.002476,0.001403,0.000867,0.000691,0.000593,0.000522,0.000562,0.000342,0.000033,Non-Drinkable
33,0,0,0,0.000008,0.000008,0,0.000003,0.000007,0.000004,0,0.000019,0.000296,0.000567,0.001143,0.002358,0.00401,0.008298,0.014494,0.019903,0.017968,0.013828,0.015457,0.018377,0.021449,0.019981,0.009609,0.002354,0.003261,0.00516,0.006597,0.004888,0.002317,0.001421,0.000913,0.000628,0.00051,0.000469,0.000356,0.00013,0.000002,Non-Drinkable
34,0,0,0.000003,0.000003,0,0.000036,0.000237,0.00103,0.001662,0.002198,0.004916,0.010655,0.017042,0.018746,0.016382,0.015525,0.017441,0.01805,0.021131,0.017212,0.005748,0.002439,0.003011,0.004024,0.00463,0.003916,0.002522,0.001398,0.000868,0.000726,0.000637,0.000328,0.000104,0.000064,0.00003,0.00001,0,0,0,0,Non-Drinkable
35,0,0.000008,0.000008,0,0.000005,0.000011,0.00011,0.000833,0.001719,0.002086,0.003434,0.007689,0.014808,0.020301,0.018208,0.014284,0.016141,0.018001,0.020534,0.01871,0.008324,0.002682,0.003552,0.004126,0.004598,0.004584,0.00265,0.00141,0.001106,0.000841,0.000562,0.000337,0.000206,0.000152,0.000184,0.000095,0,0,0,0,Non-Drinkable
36,0,0,0,0,0.000005,0.000047,0.000238,0.001011,0.00186,0.002371,0.003933,0.009055,0.015644,0.018693,0.016821,0.015065,0.017544,0.0181,0.020449,0.016945,0.00607,0.002889,0.003536,0.0045,0.005148,0.004094,0.002177,0.001318,0.001041,0.000617,0.000461,0.000336,0.000172,0.000109,0.000105,0.000055,0,0,0,0,Non-Drinkable
37,0,0.000008,0.000015,0.000011,0.000004,0.000004,0.000004,0.000008,0.000097,0.002391,0.010453,0.015135,0.011579,0.009016,0.010494,0.013643,0.017336,0.019791,0.022935,0.019627,0.00915,0.004947,0.00631,0.007007,0.006355,0.003957,0.001278,0.001168,0.001092,0.000488,0.000168,0.000166,0.000174,0.000083,0.000006,0,0,0,0,0,Non-Drinkable
38,0,0.000008,0.000008,0,0,0,0.000003,0.000234,0.001861,0.009184,0.014013,0.010764,0.008724,0.009529,0.011443,0.014689,0.018577,0.022357,0.021648,0.014862,0.007422,0.004464,0.005853,0.006868,0.004773,0.002059,0.001174,0.000959,0.000855,0.000706,0.00041,0.000125,0.000061,0.000017,0,0,0,0,0,0,Non-Drinkable
39,0.000001,0.000001,0,0,0,0.000006,0.000006,0,0.000614,0.003803,0.012177,0.014395,0.009657,0.008918,0.010686,0.0137,0.017335,0.020625,0.022444,0.020172,0.011525,0.005042,0.005851,0.007011,0.005459,0.002732,0.00119,0.000987,0.000763,0.000626,0.000508,0.000279,0.000141,0.000061,0,0,0,0,0,0,Non-Drinkable
40,0,0.000008,0.000008,0,0.00001,0.000014,0.000014,0.001732,0.005446,0.011247,0.013527,0.010779,0.011177,0.013182,0.017936,0.023249,0.025393,0.020629,0.009076,0.003888,0.00588,0.00882,0.007033,0.002671,0.001307,0.00102,0.000881,0.000706,0.000492,0.000295,0.00006,0,0,0,0,0,0,0,0,0,Non-Drinkable
